experiment_id,snapshot_id,scenario,configuration,window_count,metric,unit,run,value,iterations,instrument,local_artifact,notes
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"elapsed","ns/op",2,1.9048,250000,"Stopwatch.GetTimestamp","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"managed_allocated","bytes/op",2,0,250000,"GC.GetAllocatedBytesForCurrentThread","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen0_collections","count/run",2,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen1_collections","count/run",2,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen2_collections","count/run",2,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"elapsed","ns/op",2,28.324,250000,"Stopwatch.GetTimestamp","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"managed_allocated","bytes/op",2,64,250000,"GC.GetAllocatedBytesForCurrentThread","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen0_collections","count/run",2,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen1_collections","count/run",2,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen2_collections","count/run",2,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"elapsed","ns/op",3,23.1588,250000,"Stopwatch.GetTimestamp","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"managed_allocated","bytes/op",3,64,250000,"GC.GetAllocatedBytesForCurrentThread","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen0_collections","count/run",3,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen1_collections","count/run",3,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen2_collections","count/run",3,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"elapsed","ns/op",3,1.766,250000,"Stopwatch.GetTimestamp","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"managed_allocated","bytes/op",3,0,250000,"GC.GetAllocatedBytesForCurrentThread","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen0_collections","count/run",3,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen1_collections","count/run",3,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen2_collections","count/run",3,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"elapsed","ns/op",4,1.7648,250000,"Stopwatch.GetTimestamp","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"managed_allocated","bytes/op",4,0,250000,"GC.GetAllocatedBytesForCurrentThread","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen0_collections","count/run",4,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen1_collections","count/run",4,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen2_collections","count/run",4,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"elapsed","ns/op",4,23.8972,250000,"Stopwatch.GetTimestamp","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"managed_allocated","bytes/op",4,64,250000,"GC.GetAllocatedBytesForCurrentThread","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen0_collections","count/run",4,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen1_collections","count/run",4,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen2_collections","count/run",4,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"elapsed","ns/op",5,22.5856,250000,"Stopwatch.GetTimestamp","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"managed_allocated","bytes/op",5,64,250000,"GC.GetAllocatedBytesForCurrentThread","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen0_collections","count/run",5,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen1_collections","count/run",5,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen2_collections","count/run",5,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"elapsed","ns/op",5,1.7128,250000,"Stopwatch.GetTimestamp","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"managed_allocated","bytes/op",5,0,250000,"GC.GetAllocatedBytesForCurrentThread","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen0_collections","count/run",5,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen1_collections","count/run",5,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen2_collections","count/run",5,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-FLEX-STABLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Flex.SetContainerWidth(same width), production","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",1,"elapsed","ns/op",1,103.7464,250000,"Stopwatch.GetTimestamp","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-FLEX-STABLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Flex.SetContainerWidth(same width), production","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",1,"managed_allocated","bytes/op",1,360,250000,"GC.GetAllocatedBytesForCurrentThread","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-FLEX-STABLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Flex.SetContainerWidth(same width), production","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",1,"gen0_collections","count/run",1,5,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-FLEX-STABLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Flex.SetContainerWidth(same width), production","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",1,"gen1_collections","count/run",1,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-FLEX-STABLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Flex.SetContainerWidth(same width), production","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",1,"gen2_collections","count/run",1,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-FLEX-STABLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Flex.SetContainerWidth(same width), experimental call-site guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",1,"elapsed","ns/op",1,3.114,250000,"Stopwatch.GetTimestamp","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-FLEX-STABLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Flex.SetContainerWidth(same width), experimental call-site guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",1,"managed_allocated","bytes/op",1,0,250000,"GC.GetAllocatedBytesForCurrentThread","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-FLEX-STABLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Flex.SetContainerWidth(same width), experimental call-site guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",1,"gen0_collections","count/run",1,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-FLEX-STABLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Flex.SetContainerWidth(same width), experimental call-site guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",1,"gen1_collections","count/run",1,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-FLEX-STABLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Flex.SetContainerWidth(same width), experimental call-site guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",1,"gen2_collections","count/run",1,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-FLEX-STABLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Flex.SetContainerWidth(same width), experimental call-site guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",1,"elapsed","ns/op",2,2.3672,250000,"Stopwatch.GetTimestamp","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-FLEX-STABLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Flex.SetContainerWidth(same width), experimental call-site guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",1,"managed_allocated","bytes/op",2,0,250000,"GC.GetAllocatedBytesForCurrentThread","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
