"path","ownership","subsystem","review_status","what_reviewed","related_perf_ids"
"FancyWM.Layouts/FancyWM.Layouts.csproj","first_party_production","layout_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified",""
"FancyWM.Layouts/Flex.cs","first_party_production","layout_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-005"
"FancyWM.Layouts/GridLayout.cs","first_party_production","layout_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified",""
"FancyWM.Layouts/GrowDirection.cs","first_party_production","layout_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified",""
"FancyWM.Layouts/ILayoutFunction.cs","first_party_production","layout_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified",""
"FancyWM.Layouts/Numbers.cs","first_party_production","layout_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified",""
"FancyWM.Layouts/Partition.cs","first_party_production","layout_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified",""
"FancyWM.Layouts/RatioLayout.cs","first_party_production","layout_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified",""
"FancyWM.Layouts/RectangleF.cs","first_party_production","layout_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified",""
"FancyWM.Layouts/Tiling/DesktopTree.cs","first_party_production","layout_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-005;PERF-009"
"FancyWM.Layouts/Tiling/GridLikeNode.cs","first_party_production","layout_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-005;PERF-009"
"FancyWM.Layouts/Tiling/LayoutFunctionNode.cs","first_party_production","layout_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-005;PERF-009"
"FancyWM.Layouts/Tiling/PanelNode.cs","first_party_production","layout_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-005;PERF-009"
"FancyWM.Layouts/Tiling/PlaceholderNode.cs","first_party_production","layout_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-005;PERF-009"
"FancyWM.Layouts/Tiling/SplitPanelNode.cs","first_party_production","layout_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-005;PERF-009"
"FancyWM.Layouts/Tiling/StackPanelNode.cs","first_party_production","layout_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-005;PERF-009"
"FancyWM.Layouts/Tiling/TilingNode.cs","first_party_production","layout_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-005;PERF-009"
"FancyWM.Layouts/Tiling/WindowNode.cs","first_party_production","layout_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-005;PERF-009"
"FancyWM.Package/FancyWM.Package.wapproj","first_party_production","packaging","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified",""
"FancyWM.Package/Images/Square150x150Logo.png","first_party_binary_asset","packaging","BINARY_INVENTORIED","Type, size, packaging/loading reference reviewed; binary content not reverse-engineered",""
"FancyWM.Package/Images/Square44x44Logo.png","first_party_binary_asset","packaging","BINARY_INVENTORIED","Type, size, packaging/loading reference reviewed; binary content not reverse-engineered",""
"FancyWM.Package/Images/StoreLogo.scale-100.png","first_party_binary_asset","packaging","BINARY_INVENTORIED","Type, size, packaging/loading reference reviewed; binary content not reverse-engineered",""
"FancyWM.Package/Images/StoreLogo.scale-125.png","first_party_binary_asset","packaging","BINARY_INVENTORIED","Type, size, packaging/loading reference reviewed; binary content not reverse-engineered",""
"FancyWM.Package/Images/StoreLogo.scale-150.png","first_party_binary_asset","packaging","BINARY_INVENTORIED","Type, size, packaging/loading reference reviewed; binary content not reverse-engineered",""
"FancyWM.Package/Images/StoreLogo.scale-200.png","first_party_binary_asset","packaging","BINARY_INVENTORIED","Type, size, packaging/loading reference reviewed; binary content not reverse-engineered",""
"FancyWM.Package/Package.appinstaller","first_party_production","packaging","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified",""
"FancyWM.Package/Package.appxmanifest","first_party_production","packaging","PRODUCTION_ASSET_INVENTORIED","Production asset inclusion and consumer reviewed",""
"FancyWM.sln","first_party_build_repository","build_startup_packaging","BUILD_INPUT_REVIEWED","Build/CI/repository input reviewed; relevant commands executed",""
"FancyWM.Tests/AlgorithmicLayouts/AlgorithmicAutoCreatedDesktopTransferIntegrationTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/AlgorithmicLayouts/AlgorithmicDesktopCreationOrchestratorTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/AlgorithmicLayouts/AlgorithmicDesktopCreationTrackerTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/AlgorithmicLayouts/AlgorithmicLayoutCoordinatorTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-008;PERF-020;PERF-022"
"FancyWM.Tests/AlgorithmicLayouts/AlgorithmicLayoutDestinationSearchTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/AlgorithmicLayouts/AlgorithmicLayoutEventTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/AlgorithmicLayouts/AlgorithmicLayoutMultiMonitorTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/AlgorithmicLayouts/AlgorithmicWindowTransferEventTrackerTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/AlgorithmicLayouts/AlgorithmicWindowTransferOrchestratorTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/AlgorithmicLayouts/AlgorithmicWindowTransferWorkspaceIntegrationTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/AlgorithmicLayouts/MasterSatelliteArrangeFailureTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-006;PERF-007;PERF-008"
"FancyWM.Tests/AlgorithmicLayouts/MasterSatelliteCapacityTransitionPlannerTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-006;PERF-007;PERF-008"
"FancyWM.Tests/AlgorithmicLayouts/MasterSatelliteCommandControllerTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-006;PERF-007;PERF-008"
"FancyWM.Tests/AlgorithmicLayouts/MasterSatelliteDropControllerTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-006;PERF-007;PERF-008"
"FancyWM.Tests/AlgorithmicLayouts/MasterSatelliteExistingWindowOverflowIntegrationTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-006;PERF-007;PERF-008"
"FancyWM.Tests/AlgorithmicLayouts/MasterSatelliteLayoutEngineConstructionTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-006;PERF-007;PERF-008"
"FancyWM.Tests/AlgorithmicLayouts/MasterSatelliteLayoutEngineInvariantTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-006;PERF-007;PERF-008"
"FancyWM.Tests/AlgorithmicLayouts/MasterSatelliteLayoutEngineOperationTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-006;PERF-007;PERF-008"
"FancyWM.Tests/AlgorithmicLayouts/MasterSatelliteLayoutEngineRatioTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-006;PERF-007;PERF-008"
"FancyWM.Tests/AlgorithmicLayouts/MasterSatelliteLocalPlacementTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-006;PERF-007;PERF-008"
"FancyWM.Tests/AlgorithmicLayouts/MasterSatelliteRuntimeLifecycleTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-006;PERF-007;PERF-008"
"FancyWM.Tests/AlgorithmicLayouts/MultiDisplayTilingServiceIntegrationTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-002;PERF-003;PERF-004;PERF-006;PERF-007;PERF-008;PERF-009;PERF-016;PERF-019;PERF-022"
"FancyWM.Tests/AlgorithmicLayouts/TilingServiceAlgorithmicIntegrationTest.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-002;PERF-004;PERF-006;PERF-007;PERF-008;PERF-009;PERF-019;PERF-022"
"FancyWM.Tests/AlgorithmicLayouts/UniqueWindowMockFactory.cs","first_party_test","master_satellites","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/Converters/ColorConverterTest.cs","first_party_test","tests","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/Converters/KeybindingConverterTest.cs","first_party_test","tests","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/FancyWM.Tests.csproj","first_party_test","tests","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/LegacyTilingWorkspaceCompatibilityTest.cs","first_party_test","tiling_core","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-007;PERF-008;PERF-009;PERF-022"
"FancyWM.Tests/Models/MasterSatelliteKeybindingTest.cs","first_party_test","tests","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-006;PERF-007;PERF-008"
"FancyWM.Tests/Models/MasterSatelliteLayoutSettingsTest.cs","first_party_test","tests","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-006;PERF-007;PERF-008"
"FancyWM.Tests/Models/MasterSatellitePreviewPlanTest.cs","first_party_test","tests","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-006;PERF-007;PERF-008"
"FancyWM.Tests/Models/SettingsViewModelTest.cs","first_party_test","settings_persistence_ui","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-014;PERF-025;PERF-033"
"FancyWM.Tests/MultiDisplayActiveDisplaySelectorTest.cs","first_party_test","tiling_core","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/TestUtilities/Applications.cs","first_party_test","tests","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/TestUtilities/Dispatchers.cs","first_party_test","tests","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/TestUtilities/VirtualDesktopMockFactory.cs","first_party_test","tests","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/TestUtilities/WindowMockFactory.cs","first_party_test","tests","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/TilingManagerTest.cs","first_party_test","tests","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/TilingWorkspaceMasterSatelliteTest.cs","first_party_test","tiling_core","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-006;PERF-007;PERF-008;PERF-009;PERF-022"
"FancyWM.Tests/TilingWorkspaceTest.cs","first_party_test","tiling_core","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-007;PERF-008;PERF-009;PERF-022"
"FancyWM.Tests/Utilities/CollectionsTest.cs","first_party_test","tests","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/Utilities/CountdownTimerTest.cs","first_party_test","tests","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/Utilities/EasingFunctionTest.cs","first_party_test","tests","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/Utilities/EntitiesTest.cs","first_party_test","tests","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/Utilities/ErrorEncoderTest.cs","first_party_test","tests","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/Utilities/KeyDescriptionsTest.cs","first_party_test","tests","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/Utilities/LowLevelKeyboardHookTest.cs","first_party_test","input_hooks_hotkeys","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-016;PERF-017;PERF-031"
"FancyWM.Tests/Utilities/WindowMatcherTest.cs","first_party_test","tests","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Tests/WorkspaceFloatingWindowRegistryTest.cs","first_party_test","tests","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.ThemeEngine.Tests/CssToWpfResourceConverterTest.cs","first_party_test","theme_engine","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine.Tests/FancyWM.ThemeEngine.Tests.csproj","first_party_test","theme_engine","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine.Tests/WpfGradientTest.cs","first_party_test","theme_engine","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/Extensions/CustomDeclarationFactory.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/Extensions/DropShadowConverter.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/FancyWM.ThemeEngine.csproj","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/ICssValueConverter.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/ICssValueExtensions.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/ICssValueVisitor.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/StyledDocument.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/Wpf/Converters/BackgroundLayerBrushConverter.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/Wpf/Converters/BackgroundValueBrushConverter.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/Wpf/Converters/BorderRadiusCornerRadiusConverter.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/Wpf/Converters/BorderRadiusDoubleConverter.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/Wpf/Converters/ColorColorConverter.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/Wpf/Converters/ColorSolidColorBrushConverter.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/Wpf/Converters/ConverterRegistry.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/Wpf/Converters/DropShadowFilterValueDropShadowEffectConverter.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/Wpf/Converters/GradientUtilities.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/Wpf/Converters/LengthDoubleConverter.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/Wpf/Converters/LengthFontWeightConverter.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/Wpf/Converters/LengthThicknessConverter.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/Wpf/Converters/LinearGradientBrushConverter.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/Wpf/Converters/PeriodicValueThicknessConverter.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/Wpf/Converters/PrimitiveValueFontFamilyConverter.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/Wpf/Converters/RadialGradientBrushConverter.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
"FancyWM.ThemeEngine/Wpf/Converters/UrlValueImageBrushConverter.cs","first_party_production","theme_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-015;PERF-024;PERF-035;PERF-036"
